phase,stufe,topology,attacker_name,defender_algo,run_id,episode,agent,env_id,algorithm,timestep,episode_reward,episode_length,atk_invalid,atk_valid,atk_cj_reached,atk_cj_step,atk_won,atk_max_owned,atk_hold_reward,atk_eviction,def_reimage,def_block,def_allow,def_stop_svc,def_stop_svc_clean,def_start_svc,def_invalid,def_recovered,def_sla_break_steps
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed1,13,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,654,5568.7,338,0,338,1,203,1,10,207.6999999999995,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed1,14,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,679,5252.4748,25,0,25,1,25,1,10,9.475000000000001,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed1,15,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,712,5351.1248,33,0,33,1,11,1,10,23.125000000000007,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed1,16,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,734,5342.15,22,0,22,1,15,1,10,9.15,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed1,17,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,781,5373.525,47,0,47,1,17,1,10,34.525000000000006,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed1,18,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,818,5362.8,37,0,37,1,17,1,10,23.800000000000004,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed1,19,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,839,5342.65,21,0,21,1,15,1,10,9.65,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed1,20,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,876,5362.4501,37,0,37,1,15,1,10,22.45000000000001,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed1,21,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,903,5334.0748,27,0,27,1,19,1,10,10.075000000000001,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed1,22,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,938,5343.675,35,0,35,1,28,1,10,10.675,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed1,23,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,962,5342.975,24,0,24,1,15,1,10,9.975,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed1,24,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,987,5352.0,25,0,25,1,18,1,10,9.0,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed1,25,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,1013,5340.775,26,0,26,1,22,1,10,7.775,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed0,1,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,24,5250.7248,24,0,24,1,24,1,10,7.725,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed0,2,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,54,5342.625,30,0,30,1,27,1,10,9.624999999999998,0.0,,,,,,,,,
