phase,stufe,topology,attacker_name,defender_algo,run_id,episode,agent,env_id,algorithm,timestep,episode_reward,episode_length,atk_invalid,atk_valid,atk_cj_reached,atk_cj_step,atk_won,atk_max_owned,atk_hold_reward,atk_eviction,def_reimage,def_block,def_allow,def_stop_svc,def_stop_svc_clean,def_start_svc,def_invalid,def_recovered,def_sla_break_steps
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed2,14,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,321,5306.8648,19,0,19,1,14,1,10,1.8650000000000002,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed2,15,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,343,5318.0801,22,0,22,1,10,1,10,3.0800000000000005,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed2,16,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,364,5316.6251,21,0,21,1,18,1,10,1.6250000000000002,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed2,17,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,383,5312.0552,19,0,19,1,10,1,10,2.055,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed2,18,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,400,5311.7302,17,0,17,1,11,1,10,1.73,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed2,19,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,421,5317.8351,21,0,21,1,8,1,10,2.835000000000001,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed2,20,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,447,5313.9902,26,0,26,1,7,1,10,3.99,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed2,21,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,469,5308.0148,22,0,22,1,9,1,10,3.0149999999999997,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed2,22,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,488,5322.9001,19,0,19,1,14,1,10,1.9000000000000004,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed2,23,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,513,5324.9701,25,0,25,1,5,1,10,3.970000000000001,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed2,24,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,536,5318.1201,23,0,23,1,10,1,10,3.1200000000000006,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed2,25,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,552,5226.0198,16,0,16,1,16,1,10,1.02,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed1,1,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,23,5313.6398,23,0,23,1,12,1,10,2.64,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed1,2,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,48,5318.0898,25,0,25,1,10,1,10,3.09,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed1,3,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,72,5313.9752,24,0,24,1,5,1,10,3.9750000000000014,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed1,4,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,95,5318.4652,23,0,23,1,15,1,10,2.4650000000000003,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed1,5,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,113,5317.2501,18,0,18,1,6,1,10,2.2500000000000004,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed1,6,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,132,5323.0351,19,0,19,1,11,1,10,2.035,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed1,7,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,154,5313.2102,22,0,22,1,8,1,10,3.210000000000001,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed1,8,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,171,5311.5402,17,0,17,1,11,1,10,1.5399999999999998,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed1,9,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,190,5317.2748,19,0,19,1,8,1,10,2.275,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed1,10,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,210,5317.4951,20,0,20,1,9,1,10,2.4950000000000006,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed1,11,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,233,5313.2502,23,0,23,1,8,1,10,3.250000000000001,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed1,12,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,249,5322.4051,16,0,16,1,12,1,10,1.405,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed1,13,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,270,5307.3048,21,0,21,1,14,1,10,2.305,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed1,14,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,288,5226.4348,18,0,18,1,18,1,10,1.4350000000000003,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed1,15,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,316,5313.7052,28,0,28,1,15,1,10,3.7050000000000014,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed1,16,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,333,5306.7148,17,0,17,1,11,1,10,1.7150000000000003,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed1,17,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,371,5321.0751,38,0,38,1,8,1,10,6.0749999999999975,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed1,18,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,386,5306.7948,15,0,15,1,6,1,10,1.795,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed1,19,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,408,5307.7498,22,0,22,1,11,1,10,2.75,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed1,20,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,428,5323.5251,20,0,20,1,11,1,10,2.525000000000001,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed1,21,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,458,5319.8201,30,0,30,1,10,1,10,4.82,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed1,22,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,477,5307.4098,19,0,19,1,8,1,10,2.41,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed1,23,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,513,5326.9548,36,0,36,1,7,1,10,5.954999999999999,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed1,24,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,538,5226.7998,25,0,25,1,25,1,10,1.8,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed1,25,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,578,5321.8451,40,0,40,1,11,1,10,6.844999999999997,0.0,,,,,,,,,
evaluation,keiner,dmz,chain,None,eval_keiner_dmz_chain_seed1,1,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,2000,104.675,2000,0,2000,0,-1,0,2,15.675000000000216,0.0,,,,,,,,,
evaluation,keiner,dmz,chain,None,eval_keiner_dmz_chain_seed1,2,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,4000,87.415,2000,0,2000,0,-1,0,2,26.41500000000062,0.0,,,,,,,,,
evaluation,keiner,dmz,chain,None,eval_keiner_dmz_chain_seed1,3,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,6000,77.535,2000,0,2000,0,-1,0,2,26.535000000000625,0.0,,,,,,,,,
evaluation,keiner,dmz,chain,None,eval_keiner_dmz_chain_seed1,4,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,8000,119.125,2000,0,2000,0,-1,0,2,28.125000000000686,0.0,,,,,,,,,
evaluation,keiner,dmz,chain,None,eval_keiner_dmz_chain_seed1,5,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,10000,92.57,2000,0,2000,0,-1,0,2,21.570000000000437,0.0,,,,,,,,,
evaluation,keiner,dmz,chain,None,eval_keiner_dmz_chain_seed1,6,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,12000,96.62,2000,0,2000,0,-1,0,2,25.62000000000059,0.0,,,,,,,,,
evaluation,keiner,dmz,chain,None,eval_keiner_dmz_chain_seed1,7,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,14000,134.375,2000,0,2000,0,-1,0,3,54.37500000000131,0.0,,,,,,,,,
evaluation,keiner,dmz,chain,None,eval_keiner_dmz_chain_seed1,8,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,16000,85.09,2000,0,2000,0,-1,0,2,24.090000000000533,0.0,,,,,,,,,
evaluation,keiner,dmz,chain,None,eval_keiner_dmz_chain_seed1,9,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,18000,280.955,2000,0,2000,0,-1,0,4,56.955000000001746,0.0,,,,,,,,,
evaluation,keiner,dmz,chain,None,eval_keiner_dmz_chain_seed1,10,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,20000,89.785,2000,0,2000,0,-1,0,2,28.78500000000071,0.0,,,,,,,,,
evaluation,keiner,dmz,chain,None,eval_keiner_dmz_chain_seed1,11,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,22000,252.415,2000,0,2000,0,-1,0,4,39.415000000000695,0.0,,,,,,,,,
evaluation,keiner,dmz,chain,None,eval_keiner_dmz_chain_seed1,12,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,24000,353.385,2000,0,2000,0,-1,0,5,90.38500000000045,0.0,,,,,,,,,
evaluation,keiner,dmz,chain,None,eval_keiner_dmz_chain_seed1,13,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,26000,85.405,2000,0,2000,0,-1,0,2,24.405000000000545,0.0,,,,,,,,,
